run,img_and_tape_width,img_height_and_steps,original_size,compressed_size,compression,machine_start_position,yk,gk,ye,ge,yw,gw,yp,,,,,,,,,,,,,,,,
53a0b82e-6714-11ee-a9c2-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 3, 1]","[0, 1, -1]","[1, 3, -1]","[1, 1, 1]","[0, 0, -1]","[0, 2, -1]","[0, 0, 1]",51,"[1, 3, 1]","[0, 1, -1]","[1, 3, -1]","[1, 1, 1]","[0, 0, -1]","[0, 2, -1]","[0, 0, 1]",51,"[1, 3, 1]","[0, 1, -1]","[1, 3, -1]","[1, 1, 1]","[0, 0, -1]","[0, 2, -1]","[0, 0, 1]"
5fcc1efe-6714-11ee-aa76-acde48001122,101,801,332,268,0.8072289156626506,39,"[1, 1, -1]","[0, 1, 1]","[1, 0, -1]","[0, 2, 1]","[0, 1, 1]","[0, 1, -1]","[0, 2, -1]",39,"[1, 1, -1]","[0, 1, 1]","[1, 0, -1]","[0, 2, 1]","[0, 1, 1]","[0, 1, -1]","[0, 2, -1]",39,"[1, 1, -1]","[0, 1, 1]","[1, 0, -1]","[0, 2, 1]","[0, 1, 1]","[0, 1, -1]","[0, 2, -1]"
608a08b0-6714-11ee-a279-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 3, 1]","[0, 1, -1]","[0, 1, 1]","[0, 3, 1]","[1, 3, -1]","[0, 0, 1]","[1, 3, 1]",51,"[1, 3, 1]","[0, 1, -1]","[0, 1, 1]","[0, 3, 1]","[1, 3, -1]","[0, 0, 1]","[1, 3, 1]",51,"[1, 3, 1]","[0, 1, -1]","[0, 1, 1]","[0, 3, 1]","[1, 3, -1]","[0, 0, 1]","[1, 3, 1]"
61110b08-6714-11ee-8858-acde48001122,101,301,1526,796,0.5216251638269986,50,"[1, 1, 1]","[0, 2, -1]","[0, 2, 1]","[1, 2, -1]","[1, 1, -1]","[0, 0, -1]","[0, 2, 1]",50,"[1, 1, 1]","[0, 2, -1]","[0, 2, 1]","[1, 2, -1]","[1, 1, -1]","[0, 0, -1]","[0, 2, 1]",50,"[1, 1, 1]","[0, 2, -1]","[0, 2, 1]","[1, 2, -1]","[1, 1, -1]","[0, 0, -1]","[0, 2, 1]"
6192c170-6714-11ee-b5b4-acde48001122,101,2,89,24,0.2696629213483146,48,"[1, 1, -1]","[0, 0, 1]","[1, 0, 1]","[1, 1, 1]","[1, 2, -1]","[0, 2, -1]","[0, 2, -1]",48,"[1, 1, -1]","[0, 0, 1]","[1, 0, 1]","[1, 1, 1]","[1, 2, -1]","[0, 2, -1]","[0, 2, -1]",48,"[1, 1, -1]","[0, 0, 1]","[1, 0, 1]","[1, 1, 1]","[1, 2, -1]","[0, 2, -1]","[0, 2, -1]"
620942d2-6714-11ee-92bf-acde48001122,101,801,3936,2315,0.588160569,53,"[1, 0, -1]","[0, 1, 1]","[1, 1, 1]","[1, 0, -1]","[0, 2, 1]","[0, 0, -1]","[1, 3, 1]",53,"[1, 0, -1]","[0, 1, 1]","[1, 1, 1]","[1, 0, -1]","[0, 2, 1]","[0, 0, -1]","[1, 3, 1]",53,"[1, 0, -1]","[0, 1, 1]","[1, 1, 1]","[1, 0, -1]","[0, 2, 1]","[0, 0, -1]","[1, 3, 1]"
62f59876-6714-11ee-b4c8-acde48001122,101,801,315,258,0.819047619,57,"[0, 0, -1]","[1, 1, -1]","[0, 1, -1]","[0, 0, -1]","[0, 3, 1]","[0, 2, 1]","[1, 2, -1]",57,"[0, 0, -1]","[1, 1, -1]","[0, 1, -1]","[0, 0, -1]","[0, 3, 1]","[0, 2, 1]","[1, 2, -1]",57,"[0, 0, -1]","[1, 1, -1]","[0, 1, -1]","[0, 0, -1]","[0, 3, 1]","[0, 2, 1]","[1, 2, -1]"5f49db00-6715-11ee-b86f-acde48001122,101,1,70,13,0.18571428571428572,49,"[0, 3, -1]","[1, 2, -1]","[1, 1, 1]","[1, 0, -1]","[0, 3, -1]","[1, 3, 1]","[0, 3, -1]",49,"[0, 3, -1]","[1, 2, -1]","[1, 1, 1]","[1, 0, -1]","[0, 3, -1]","[1, 3, 1]","[0, 3, -1]",49,"[0, 3, -1]","[1, 2, -1]","[1, 1, 1]","[1, 0, -1]","[0, 3, -1]","[1, 3, 1]","[0, 3, -1]"
620e5a8c-6715-11ee-aad5-acde48001122,101,801,315,258,0.819047619047619,43,"[0, 0, 1]","[0, 0, 1]","[0, 1, -1]","[1, 2, 1]","[1, 2, 1]","[1, 1, 1]","[1, 3, -1]",43,"[0, 0, 1]","[0, 0, 1]","[0, 1, -1]","[1, 2, 1]","[1, 2, 1]","[1, 1, 1]","[1, 3, -1]",43,"[0, 0, 1]","[0, 0, 1]","[0, 1, -1]","[1, 2, 1]","[1, 2, 1]","[1, 1, 1]","[1, 3, -1]"
67c4047c-6715-11ee-8963-acde48001122,101,2,83,21,0.25301204819277107,52,"[1, 1, 1]","[0, 0, 1]","[0, 2, 1]","[1, 1, -1]","[0, 2, 1]","[1, 3, -1]","[0, 0, -1]",52,"[1, 1, 1]","[0, 0, 1]","[0, 2, 1]","[1, 1, -1]","[0, 2, 1]","[1, 3, -1]","[0, 0, -1]",52,"[1, 1, 1]","[0, 0, 1]","[0, 2, 1]","[1, 1, -1]","[0, 2, 1]","[1, 3, -1]","[0, 0, -1]"
6869a44a-6715-11ee-ae27-acde48001122,101,102,609,414,0.6798029556650246,51,"[1, 0, 1]","[0, 2, 1]","[0, 0, 1]","[1, 2, -1]","[0, 1, 1]","[0, 1, -1]","[1, 0, -1]",51,"[1, 0, 1]","[0, 2, 1]","[0, 0, 1]","[1, 2, -1]","[0, 1, 1]","[0, 1, -1]","[1, 0, -1]",51,"[1, 0, 1]","[0, 2, 1]","[0, 0, 1]","[1, 2, -1]","[0, 1, 1]","[0, 1, -1]","[1, 0, -1]"
68f1960c-6715-11ee-8c0d-acde48001122,101,1,77,19,0.24675324675324675,51,"[1, 2, 1]","[1, 2, 1]","[0, 3, -1]","[0, 2, -1]","[1, 1, -1]","[0, 2, 1]","[0, 0, 1]",51,"[1, 2, 1]","[1, 2, 1]","[0, 3, -1]","[0, 2, -1]","[1, 1, -1]","[0, 2, 1]","[0, 0, 1]",51,"[1, 2, 1]","[1, 2, 1]","[0, 3, -1]","[0, 2, -1]","[1, 1, -1]","[0, 2, 1]","[0, 0, 1]"
